class,n_samples,accuracy
DC-8,20,0.6
MD-11,20,0.65
A380,20,0.65
DC-9,20,0.65
A330,40,0.675
Boeing 717,20,0.7
C-47,20,0.7
DC-10,20,0.7
A300,20,0.7
Boeing 777,40,0.7
DC-3,20,0.75
Fokker 70,20,0.75
Fokker 100,20,0.75
A310,20,0.75
MD-90,20,0.75
Boeing 757,40,0.775
Cessna 208,20,0.8
Tu-154,20,0.8
CRJ-200,20,0.8
Boeing 707,20,0.8
Tu-134,20,0.8
F-16,20,0.85
Boeing 727,20,0.85
Eurofighter Typhoon,20,0.85
L-1011,20,0.85
Falcon 2000,20,0.85
Hawk T1,20,0.85
Dornier 328,20,0.85
PA-28,20,0.85
Fokker 50,20,0.85
DHC-6,20,0.85
EMB-120,20,0.9
DR-400,20,0.9
An-12,20,0.9
Challenger 600,20,0.9
Cessna 172,20,0.9
ATR-72,20,0.9
A340,80,0.9125
A320,80,0.925
MD-80,40,0.925
Boeing 767,60,0.9333333333333333
Embraer E-Jet,60,0.9333333333333333
Global Express,20,0.95
SR-20,20,0.95
Metroliner,20,0.95
Yak-42,20,0.95
Embraer Legacy 600,20,0.95
Embraer ERJ 145,40,0.95
Dash 8,40,0.95
Cessna Citation,40,0.95
BAE 146,40,0.95
F/A-18,20,0.95
Boeing 737,160,0.95
Boeing 747,80,0.9625
ATR-42,20,1.0
Tornado,20,1.0
Spitfire,20,1.0
Saab 340,20,1.0
Saab 2000,20,1.0
BAE-125,20,1.0
C-130,20,1.0
CRJ-700,40,1.0
King Air,20,1.0
Il-76,20,1.0
Gulfstream,40,1.0
DC-6,20,1.0
DH-82,20,1.0
Falcon 900,20,1.0
Beechcraft 1900,20,1.0
DHC-1,20,1.0
